"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10013","0.0-0.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","","","",""
"13380.000000000004","","","survey-text","1","23418","0.0-1.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","{""Q0"":""pid10""}","","",""
"7353","","","survey-multi-choice","2","30775","0.0-2.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","{""Activity"":""Sleeping, Resting""}","[0]","",""
"6911","","","survey-multi-choice","3","37687","0.0-3.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"10653","","","survey-multi-choice","4","48346","0.0-4.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","{""HeartRate"":""69""}","[0]","",""
"3594","","","survey-text","5","51949","0.0-5.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","{""Q0"":""23""}","","",""
"3734","","","survey-multi-choice","6","55687","0.0-6.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4243","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","59936","0.0-7.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","","","50","65"
"3254.0000000000073","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","63192","0.0-8.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","","","50","16"
"3742.9999999999927","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","66938","0.0-9.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","","","50","28"
"15139.000000000015","","","survey-multi-choice","10","82082","0.0-10.0","h100hw","Fri Nov 18 2022 15:31:54 GMT+0100 (CET)","2022","11","18","15","31","54","pid10","Sleeping, Resting","Unsymbolized thinking","69","23","female","right","65","16","28","8","1","{""Sleep"":""8"",""Eat"":""1""}","[0,1]","",""
