"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10015","0.0-0.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","","","",""
"6805","","","survey-text","1","16842","0.0-1.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","{""Q0"":""pid10""}","","",""
"30582","","","survey-multi-choice","2","47428","0.0-2.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","{""Activity"":""Housework""}","[0]","",""
"9145","","","survey-multi-choice","3","56576","0.0-3.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"19482","","","survey-multi-choice","4","76065","0.0-4.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","{""HeartRate"":""57""}","[0]","",""
"4215","","","survey-text","5","80289","0.0-5.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","{""Q0"":""23""}","","",""
"4042","","","survey-multi-choice","6","84332","0.0-6.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3990","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","88326","0.0-7.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","","","50","70"
"6426","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","94754","0.0-8.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","","","50","69"
"4963","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","99719","0.0-9.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","","","50","100"
"38993","","","survey-multi-choice","10","138718","0.0-10.0","j93h0r","Sun Sep 25 2022 14:46:44 GMT+0200 (CEST)","2022","9","25","14","46","44","pid10","Housework","Unsymbolized thinking","57","23","female","right","70","69","100","6","1","{""Sleep"":""6"",""Eat"":""1""}","[0,1]","",""
