"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10006","0.0-0.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","","","",""
"6210","","","survey-text","1","16228","0.0-1.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","{""Q0"":""pid10""}","","",""
"15051","","","survey-multi-choice","2","31283","0.0-2.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","{""Activity"":""Waiting, Being in line""}","[0]","",""
"5048","","","survey-multi-choice","3","36335","0.0-3.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"5564","","","survey-multi-choice","4","41906","0.0-4.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","{""HeartRate"":""60""}","[0]","",""
"2980","","","survey-text","5","44894","0.0-5.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","{""Q0"":""23""}","","",""
"2950","","","survey-multi-choice","6","47847","0.0-6.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6846.999999999993","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","54699","0.0-7.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","","","50","55"
"4585","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","59286","0.0-8.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","","","50","42"
"5738.000000000015","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","65026","0.0-9.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","","","50","71"
"14791","","","survey-multi-choice","10","79824","0.0-10.0","q96hdp","Tue Oct 04 2022 21:17:05 GMT+0200 (CEST)","2022","10","4","21","17","5","pid10","Waiting, Being in line","Unsymbolized thinking","60","23","female","right","55","42","71","13","2","{""Sleep"":""13"",""Eat"":""2""}","[0,1]","",""
