"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10009","0.0-0.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","","","",""
"11105","","","survey-text","1","21138","0.0-1.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","{""Q0"":""pid10""}","","",""
"29770","","","survey-multi-choice","2","50912","0.0-2.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","{""Activity"":""Leisure""}","[0]","",""
"4594","","","survey-multi-choice","3","55509","0.0-3.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"7348","","","survey-multi-choice","4","62864","0.0-4.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","{""HeartRate"":""69""}","[0]","",""
"4362","","","survey-text","5","67235","0.0-5.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","{""Q0"":""23""}","","",""
"2986","","","survey-multi-choice","6","70224","0.0-6.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"10246","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","80476","0.0-7.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","","","50","60"
"4931","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","85411","0.0-8.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","","","50","63"
"6569","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","91983","0.0-9.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","","","50","62"
"20357","","","survey-multi-choice","10","112345","0.0-10.0","sks444","Mon Sep 26 2022 19:22:08 GMT+0200 (CEST)","2022","9","26","19","22","8","pid10","Leisure","Unsymbolized thinking","69","23","female","right","60","63","62","12","1","{""Sleep"":""12"",""Eat"":""1""}","[0,1]","",""
