"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10007","0.0-0.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","","","",""
"7094.999999999998","","","survey-text","1","17120","0.0-1.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","{""Q0"":""pid10""}","","",""
"28733.000000000007","","","survey-multi-choice","2","45856","0.0-2.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","{""Activity"":""Waiting, Being in line""}","[0]","",""
"7495.999999999993","","","survey-multi-choice","3","53356","0.0-3.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","{""MentalActivity"":""Feelings""}","[0]","",""
"5099.999999999993","","","survey-multi-choice","4","58463","0.0-4.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","{""HeartRate"":""69""}","[0]","",""
"4960.999999999993","","","survey-text","5","63433","0.0-5.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","{""Q0"":""23""}","","",""
"3369","","","survey-multi-choice","6","66806","0.0-6.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6551","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","73362","0.0-7.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","","","50","27"
"5836","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","79201","0.0-8.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","","","50","64"
"5998","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","85201","0.0-9.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","","","50","87"
"14772.999999999985","","","survey-multi-choice","10","99978","0.0-10.0","u3oqrv","Thu Sep 22 2022 19:46:55 GMT+0200 (CEST)","2022","9","22","19","46","55","pid10","Waiting, Being in line","Feelings","69","23","female","right","27","64","87","13","0","{""Sleep"":""13"",""Eat"":""0""}","[0,1]","",""
