"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10011","0.0-0.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","","","",""
"15600","","","survey-text","1","25635","0.0-1.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","{""Q0"":""pid10""}","","",""
"7596","","","survey-multi-choice","2","33235","0.0-2.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","{""Activity"":""Eating""}","[0]","",""
"8383","","","survey-multi-choice","3","41619","0.0-3.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"68263","","","survey-multi-choice","4","109884","0.0-4.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","{""HeartRate"":""42""}","[0]","",""
"4155","","","survey-text","5","114048","0.0-5.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","{""Q0"":""23""}","","",""
"4204","","","survey-multi-choice","6","118255","0.0-6.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"16150","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","134408","0.0-7.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","","","50","43"
"14407","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","148818","0.0-8.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","","","50","57"
"7272","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","156093","0.0-9.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","","","50","42"
"12146","","","survey-multi-choice","10","168244","0.0-10.0","u62zdk","Mon Sep 12 2022 07:23:21 GMT+0200 (CEST)","2022","9","12","7","23","21","pid10","Eating","Inner voice","42","23","female","right","43","57","42","0","0","{""Sleep"":""0"",""Eat"":""0""}","[0,1]","",""
