"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10005","0.0-0.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","","","",""
"26323","","","survey-text","1","36342","0.0-1.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","{""Q0"":""pid10""}","","",""
"18212","","","survey-multi-choice","2","54559","0.0-2.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","{""Activity"":""Watching TV""}","[0]","",""
"5350","","","survey-multi-choice","3","59912","0.0-3.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"8793","","","survey-multi-choice","4","68712","0.0-4.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","{""HeartRate"":""69""}","[0]","",""
"3294","","","survey-text","5","72015","0.0-5.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","{""Q0"":""23""}","","",""
"3083","","","survey-multi-choice","6","75101","0.0-6.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6044","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","81150","0.0-7.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","","","50","40"
"6117","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","87270","0.0-8.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","","","50","34"
"7455","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","94727","0.0-9.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","","","50","85"
"13796","","","survey-multi-choice","10","108529","0.0-10.0","wwyqy7","Sun Sep 18 2022 21:38:12 GMT+0200 (CEST)","2022","9","18","21","38","12","pid10","Watching TV","Inner voice","69","23","female","right","40","34","85","13","0","{""Sleep"":""13"",""Eat"":""0""}","[0,1]","",""
