"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10017","0.0-0.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","","","",""
"7026","","","survey-text","1","17057","0.0-1.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","{""Q0"":""pid10""}","","",""
"26763","","","survey-multi-choice","2","43824","0.0-2.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","{""Activity"":""Being on the Internet""}","[0]","",""
"6580","","","survey-multi-choice","3","50406","0.0-3.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"16221.999999999993","","","survey-multi-choice","4","66634","0.0-4.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","{""HeartRate"":""60""}","[0]","",""
"3986","","","survey-text","5","70628","0.0-5.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","{""Q0"":""23""}","","",""
"2985","","","survey-multi-choice","6","73614","0.0-6.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"9263","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","82880","0.0-7.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","","","50","64"
"5076","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","87959","0.0-8.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","","","50","67"
"6435","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","94397","0.0-9.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","","","50","46"
"21672","","","survey-multi-choice","10","116073","0.0-10.0","ze8nbe","Thu Sep 15 2022 21:12:13 GMT+0200 (CEST)","2022","9","15","21","12","13","pid10","Being on the Internet","Sensory awareness","60","23","female","right","64","67","46","13","2","{""Sleep"":""13"",""Eat"":""2""}","[0,1]","",""
