"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10012","0.0-0.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","","","",""
"18875.80000001192","","","survey-text","1","28926","0.0-1.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","{""Q0"":""pol12""}","","",""
"10075.100000023842","","","survey-multi-choice","2","39014","0.0-2.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","{""Activity"":""Watching TV""}","[0]","",""
"4034.5","","","survey-multi-choice","3","43054","0.0-3.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"41683.19999998808","","","survey-multi-choice","4","84751","0.0-4.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","{""HeartRate"":""57""}","[0]","",""
"2735.100000023842","","","survey-text","5","87495","0.0-5.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","{""Q0"":""25""}","","",""
"3126.600000023842","","","survey-multi-choice","6","90626","0.0-6.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2775.699999988079","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","93409","0.0-7.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","","","50","71"
"6198","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","99611","0.0-8.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","","","50","21"
"2453.100000023842","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","102068","0.0-9.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","","","50","87"
"26749","","","survey-multi-choice","10","128824","0.0-10.0","3p4kba","Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid)","2022","9","17","21","31","40","pol12","Watching TV","Unsymbolized thinking","57","25","female","right","71","21","87","15","3","{""Sleep"":""15"",""Eat"":""3""}","[0,1]","",""
