"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10005","0.0-0.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","","","",""
"5239.199999988079","","","survey-text","1","15256","0.0-1.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","{""Q0"":""pol12""}","","",""
"6095.70000000298","","","survey-multi-choice","2","21361","0.0-2.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","{""Activity"":""Doing sport""}","[0]","",""
"2936.2000000029802","","","survey-multi-choice","3","24306","0.0-3.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"44262","","","survey-multi-choice","4","68585","0.0-4.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","{""HeartRate"":""66""}","[0]","",""
"2633.0999999940395","","","survey-text","5","71229","0.0-5.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","{""Q0"":""25""}","","",""
"3455.0999999940395","","","survey-multi-choice","6","74694","0.0-6.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2549.199999988079","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","77251","0.0-7.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","","","50","83"
"2229.9000000059605","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","79484","0.0-8.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","","","50","87"
"2754.0999999940395","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","82242","0.0-9.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","","","50","50"
"11253.800000011921","","","survey-multi-choice","10","93503","0.0-10.0","3yukuv","Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","46","23","pol12","Doing sport","Sensory awareness","66","25","female","right","83","87","50","4","2","{""Sleep"":""4"",""Eat"":""2""}","[0,1]","",""
