"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10006","0.0-0.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","","","",""
"2441.199999988079","","","survey-text","1","12456","0.0-1.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","{""Q0"":""pol12""}","","",""
"3458","","","survey-multi-choice","2","15916","0.0-2.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","{""Activity"":""Working, Studying""}","[0]","",""
"6746.299999982119","","","survey-multi-choice","3","22667","0.0-3.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","{""MentalActivity"":""Inner voice""}","[0]","",""
"7124.699999988079","","","survey-multi-choice","4","29799","0.0-4.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","{""HeartRate"":""68""}","[0]","",""
"2448.199999988079","","","survey-text","5","32252","0.0-5.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","{""Q0"":""25""}","","",""
"5829.699999988079","","","survey-multi-choice","6","38083","0.0-6.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4710","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","42799","0.0-7.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","","","50","68"
"2998.2000000178814","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","45800","0.0-8.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","","","50","12"
"3979.199999988079","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","49781","0.0-9.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","","","50","66"
"10798.90000000596","","","survey-multi-choice","10","60583","0.0-10.0","f0tv5u","Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time)","2022","11","14","9","43","31","pol12","Working, Studying","Inner voice","68","25","female","right","68","12","66","4","2","{""Sleep"":""4"",""Eat"":""2""}","[0,1]","",""
