"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10005","0.0-0.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","","","",""
"4624.100000008941","","","survey-text","1","14637","0.0-1.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","{""Q0"":""pol12""}","","",""
"2613","","","survey-multi-choice","2","17253","0.0-2.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","{""Activity"":""Working, Studying""}","[0]","",""
"4562","","","survey-multi-choice","3","21821","0.0-3.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"3792","","","survey-multi-choice","4","25619","0.0-4.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","{""HeartRate"":""49""}","[0]","",""
"2228.7000000029802","","","survey-text","5","27853","0.0-5.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","{""Q0"":""25""}","","",""
"2397","","","survey-multi-choice","6","30252","0.0-6.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3194.5","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","33453","0.0-7.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","","","50","50"
"3432","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","36887","0.0-8.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","","","50","9"
"5946.5","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","42835","0.0-9.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","","","50","32"
"10002","","","survey-multi-choice","10","52839","0.0-10.0","h5j3c6","Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time)","2022","11","10","17","23","26","pol12","Working, Studying","Unsymbolized thinking","49","25","female","right","50","9","32","10","2","{""Sleep"":""10"",""Eat"":""2""}","[0,1]","",""
