"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10013","0.0-0.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","","","",""
"5760.300000011921","","","survey-text","1","15804","0.0-1.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","{""Q0"":""pol12""}","","",""
"2420.899999976158","","","survey-multi-choice","2","18235","0.0-2.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","{""Activity"":""Commuting""}","[0]","",""
"3981.300000011921","","","survey-multi-choice","3","22222","0.0-3.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"45686.09999996424","","","survey-multi-choice","4","67921","0.0-4.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","{""HeartRate"":""75""}","[0]","",""
"2778.399999976158","","","survey-text","5","70710","0.0-5.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","{""Q0"":""25""}","","",""
"2437.600000023842","","","survey-multi-choice","6","73158","0.0-6.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"5603.699999988079","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","78768","0.0-7.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","","","50","40"
"2952.400000035763","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","81724","0.0-8.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","","","50","33"
"3069.2999999523163","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","84797","0.0-9.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","","","50","66"
"10063.899999976158","","","survey-multi-choice","10","94868","0.0-10.0","nkpk0t","Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","19","12","55","pol12","Commuting","Sensory awareness","75","25","female","right","40","33","66","13","1","{""Sleep"":""13"",""Eat"":""1""}","[0,1]","",""
