"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10016","0.0-0.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","","","",""
"5293.700000047684","","","survey-text","1","15339","0.0-1.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","{""Q0"":""pol12""}","","",""
"2871.800000011921","","","survey-multi-choice","2","18221","0.0-2.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","{""Activity"":""Working, Studying""}","[0]","",""
"7878.899999976158","","","survey-multi-choice","3","26105","0.0-3.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"5580.100000023842","","","survey-multi-choice","4","31699","0.0-4.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","{""HeartRate"":""51""}","[0]","",""
"3303.800000011921","","","survey-text","5","35015","0.0-5.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","{""Q0"":""25""}","","",""
"4344","","","survey-multi-choice","6","39369","0.0-6.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3286.199999988079","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","42667","0.0-7.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","","","50","72"
"3473.5","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","46144","0.0-8.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","","","50","68"
"2524.300000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","48672","0.0-9.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","","","50","75"
"10141.699999988079","","","survey-multi-choice","10","58821","0.0-10.0","pm5tyj","Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid)","2022","11","7","11","27","9","pol12","Working, Studying","Sensory awareness","51","25","female","right","72","68","75","4","1","{""Sleep"":""4"",""Eat"":""1""}","[0,1]","",""
