"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10006","0.0-0.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","","","",""
"2622.399999976158","","","survey-text","1","12637","0.0-1.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","{""Q0"":""pol12""}","","",""
"2849","","","survey-multi-choice","2","15489","0.0-2.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","{""Activity"":""Working, Studying""}","[0]","",""
"4509.800000011921","","","survey-multi-choice","3","20004","0.0-3.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"4312.699999988079","","","survey-multi-choice","4","24324","0.0-4.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","{""HeartRate"":""54""}","[0]","",""
"2725.300000011921","","","survey-text","5","27055","0.0-5.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","{""Q0"":""25""}","","",""
"2430.699999988079","","","survey-multi-choice","6","29487","0.0-6.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3362.100000023842","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","32855","0.0-7.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","","","50","50"
"2646.5","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","35504","0.0-8.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","","","50","31"
"6514","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","42021","0.0-9.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","","","50","43"
"17481.700000047684","","","survey-multi-choice","10","59505","0.0-10.0","se462x","Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time)","2022","11","21","9","44","37","pol12","Working, Studying","Sensory awareness","54","25","female","right","50","31","43","3","13","{""Sleep"":""3"",""Eat"":""13""}","[0,1]","",""
