"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10008","0.0-0.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","","","",""
"3485.300000011921","","","survey-text","1","13502","0.0-1.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","{""Q0"":""pol12""}","","",""
"7710.199999988079","","","survey-multi-choice","2","21215","0.0-2.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","{""Activity"":""Being on the Internet""}","[0]","",""
"4677.9000000059605","","","survey-multi-choice","3","25898","0.0-3.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"4327.600000023842","","","survey-multi-choice","4","30232","0.0-4.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","{""HeartRate"":""51""}","[0]","",""
"1977.7000000178814","","","survey-text","5","32215","0.0-5.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","{""Q0"":""25""}","","",""
"2532","","","survey-multi-choice","6","34748","0.0-6.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2295.600000023842","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","37049","0.0-7.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","","","50","50"
"2179.9000000059605","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","39231","0.0-8.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","","","50","36"
"2729.199999988079","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","41962","0.0-9.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","","","50","28"
"14851","","","survey-multi-choice","10","56816","0.0-10.0","xa6008","Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time)","2022","11","16","9","38","37","pol12","Being on the Internet","Unsymbolized thinking","51","25","female","right","50","36","28","2","12","{""Sleep"":""2"",""Eat"":""12""}","[0,1]","",""
