"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10086","0.0-0.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","","","",""
"21255","","","survey-text","1","31354","0.0-1.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","{""Q0"":""qwe12""}","","",""
"14456.000000000007","","","survey-multi-choice","2","45814","0.0-2.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","{""Activity"":""Texting, Emailing, Social Networking""}","[0]","",""
"5034.999999999993","","","survey-multi-choice","3","50852","0.0-3.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","{""MentalActivity"":""Inner voice""}","[0]","",""
"5676","","","survey-multi-choice","4","56534","0.0-4.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","{""HeartRate"":""84""}","[0]","",""
"3890","","","survey-text","5","60434","0.0-5.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","{""Q0"":""49""}","","",""
"4283.999999999985","","","survey-multi-choice","6","64720","0.0-6.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"11139","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","75864","0.0-7.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","","","50","61"
"6926","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","82794","0.0-8.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","","","50","92"
"6113","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","88909","0.0-9.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","","","50","20"
"33086","","","survey-multi-choice","10","121997","0.0-10.0","4ywsxl","Sun Sep 18 2022 17:18:07 GMT+0200 (CEST)","2022","9","18","17","18","7","qwe12","Texting, Emailing, Social Networking","Inner voice","84","49","male","right","61","92","20","10","5","{""Sleep"":""10"",""Eat"":""5""}","[0,1]","",""
