"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10005","0.0-0.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","","","",""
"6653","","","survey-text","1","16672","0.0-1.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","{""Q0"":""qwe12""}","","",""
"39339","","","survey-multi-choice","2","56013","0.0-2.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","{""Activity"":""Other""}","[0]","",""
"3728","","","survey-multi-choice","3","59744","0.0-3.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"9167","","","survey-multi-choice","4","68917","0.0-4.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","{""HeartRate"":""78""}","[0]","",""
"4259.999999999985","","","survey-text","5","73187","0.0-5.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","{""Q0"":""49""}","","",""
"3064.9999999999854","","","survey-multi-choice","6","76253","0.0-6.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"3927","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","80184","0.0-7.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","","","50","61"
"3897","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","84084","0.0-8.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","","","50","61"
"4016","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","88102","0.0-9.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","","","50","86"
"10246","","","survey-multi-choice","10","98353","0.0-10.0","5utx8q","Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid)","2022","11","14","7","13","43","qwe12","Other","Inner voice","78","49","male","right","61","61","86","1","0","{""Sleep"":""1"",""Eat"":""0""}","[0,1]","",""
