"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10004","0.0-0.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","","","",""
"8891.000000000004","","","survey-text","1","18901","0.0-1.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","{""Q0"":""qwe12""}","","",""
"28791","","","survey-multi-choice","2","47695","0.0-2.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","{""Activity"":""Eating""}","[0]","",""
"25654","","","survey-multi-choice","3","73352","0.0-3.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"6753","","","survey-multi-choice","4","80112","0.0-4.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","{""HeartRate"":""73""}","[0]","",""
"4505","","","survey-text","5","84625","0.0-5.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","{""Q0"":""49""}","","",""
"3001","","","survey-multi-choice","6","87627","0.0-6.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"5426","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","93057","0.0-7.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","","","50","80"
"3981.0000000000146","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","97040","0.0-8.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","","","50","83"
"4767.999999999985","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","101811","0.0-9.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","","","50","93"
"14515","","","survey-multi-choice","10","116331","0.0-10.0","dlbbzq","Mon Sep 12 2022 07:26:25 GMT+0200 (CEST)","2022","9","12","7","26","25","qwe12","Eating","Sensory awareness","73","49","male","right","80","83","93","1","0","{""Sleep"":""1"",""Eat"":""0""}","[0,1]","",""
