"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10005","0.0-0.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","","","",""
"9253","","","survey-text","1","19273","0.0-1.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","{""Q0"":""qwe12""}","","",""
"88718","","","survey-multi-choice","2","107998","0.0-2.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","{""Activity"":""Other""}","[0]","",""
"3937","","","survey-multi-choice","3","111938","0.0-3.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"9125","","","survey-multi-choice","4","121070","0.0-4.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","{""HeartRate"":""56""}","[0]","",""
"4493","","","survey-text","5","125571","0.0-5.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","{""Q0"":""49""}","","",""
"4434.000000000015","","","survey-multi-choice","6","130009","0.0-6.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"8336","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","138349","0.0-7.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","","","50","36"
"8299","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","146650","0.0-8.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","","","50","18"
"6279","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","152932","0.0-9.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","","","50","84"
"34994","","","survey-multi-choice","10","187931","0.0-10.0","kb13dm","Fri Oct 14 2022 21:38:13 GMT+0200 (CEST)","2022","10","14","21","38","13","qwe12","Other","Inner voice","56","49","male","right","36","18","84","17","3","{""Sleep"":""17"",""Eat"":""3""}","[0,1]","",""
