"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","17942","0.0-0.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","","","",""
"6454.000000000004","","","survey-text","1","24402","0.0-1.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","{""Q0"":""qwe12""}","","",""
"5416.999999999996","","","survey-multi-choice","2","29823","0.0-2.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","{""Activity"":""Working, Studying""}","[0]","",""
"7125","","","survey-multi-choice","3","36951","0.0-3.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","{""MentalActivity"":""Inner voice""}","[0]","",""
"8461","","","survey-multi-choice","4","45419","0.0-4.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","{""HeartRate"":""70""}","[0]","",""
"5089.999999999993","","","survey-text","5","50518","0.0-5.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","{""Q0"":""49""}","","",""
"3283.0000000000073","","","survey-multi-choice","6","53802","0.0-6.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"4208.999999999993","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","58015","0.0-7.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","","","50","61"
"4413","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","62429","0.0-8.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","","","50","39"
"7097","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","69529","0.0-9.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","","","50","82"
"30107","","","survey-multi-choice","10","99640","0.0-10.0","opw0a6","Thu Sep 22 2022 21:50:51 GMT+0200 (CEST)","2022","9","22","21","50","51","qwe12","Working, Studying","Inner voice","70","49","male","right","61","39","82","18","2","{""Sleep"":""18"",""Eat"":""2""}","[0,1]","",""
