"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10004","0.0-0.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","","","",""
"27335","","","survey-text","1","37349","0.0-1.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","{""Q0"":""qwe12""}","","",""
"14822","","","survey-multi-choice","2","52176","0.0-2.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","{""Activity"":""Being on the Internet""}","[0]","",""
"3977","","","survey-multi-choice","3","56155","0.0-3.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","{""MentalActivity"":""Inner voice""}","[0]","",""
"12131","","","survey-multi-choice","4","68293","0.0-4.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","{""HeartRate"":""53""}","[0]","",""
"6361.999999999985","","","survey-text","5","74664","0.0-5.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","{""Q0"":""49""}","","",""
"3933.9999999999854","","","survey-multi-choice","6","78599","0.0-6.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"5664","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","84267","0.0-7.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","","","50","68"
"6561","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","90831","0.0-8.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","","","50","62"
"7800","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","98634","0.0-9.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","","","50","37"
"19181","","","survey-multi-choice","10","117820","0.0-10.0","whdzeq","Wed Oct 19 2022 07:57:22 GMT+0200 (CEST)","2022","10","19","7","57","22","qwe12","Being on the Internet","Inner voice","53","49","male","right","68","62","37","1","11","{""Sleep"":""1"",""Eat"":""11""}","[0,1]","",""
