"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10004","0.0-0.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","","","",""
"29282","","","survey-text","1","39295","0.0-1.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","{""Q0"":""qwe12""}","","",""
"16131","","","survey-multi-choice","2","55431","0.0-2.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","{""Activity"":""Chatting""}","[0]","",""
"6310","","","survey-multi-choice","3","61744","0.0-3.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"24048.000000000015","","","survey-multi-choice","4","85799","0.0-4.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","{""HeartRate"":""60""}","[0]","",""
"4057","","","survey-text","5","89864","0.0-5.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","{""Q0"":""49""}","","",""
"3944","","","survey-multi-choice","6","93811","0.0-6.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"7125","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","100939","0.0-7.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","","","50","90"
"5866","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","106809","0.0-8.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","","","50","77"
"6276.000000000015","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","113087","0.0-9.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","","","50","95"
"17628.000000000015","","","survey-multi-choice","10","130720","0.0-10.0","wv4q5h","Sat Oct 08 2022 19:31:35 GMT+0200 (CEST)","2022","10","8","19","31","35","qwe12","Chatting","Sensory awareness","60","49","male","right","90","77","95","13","1","{""Sleep"":""13"",""Eat"":""1""}","[0,1]","",""
