"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10005","0.0-0.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","","","",""
"13310","","","survey-text","1","23323","0.0-1.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","{""Q0"":""qwe12""}","","",""
"14654","","","survey-multi-choice","2","37982","0.0-2.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","{""Activity"":""Sleeping, Resting""}","[0]","",""
"4878","","","survey-multi-choice","3","42862","0.0-3.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","{""MentalActivity"":""Inner voice""}","[0]","",""
"7314","","","survey-multi-choice","4","50183","0.0-4.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","{""HeartRate"":""50""}","[0]","",""
"6137","","","survey-text","5","56329","0.0-5.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","{""Q0"":""49""}","","",""
"4024","","","survey-multi-choice","6","60354","0.0-6.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"5876","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","66233","0.0-7.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","","","50","21"
"8633","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","74869","0.0-8.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","","","50","15"
"8384","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","83255","0.0-9.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","","","50","77"
"49957","","","survey-multi-choice","10","133217","0.0-10.0","x4uw9r","Sat Sep 10 2022 23:13:10 GMT+0200 (CEST)","2022","9","10","23","13","10","qwe12","Sleeping, Resting","Inner voice","50","49","male","right","21","15","77","15","4","{""Sleep"":""15"",""Eat"":""4""}","[0,1]","",""
