"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10025","0.0-0.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","","","",""
"7171.399999999907","","","survey-text","1","17261","0.0-1.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","{""Q0"":""rex13""}","","",""
"27081.20000000007","","","survey-multi-choice","2","44360","0.0-2.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","{""Activity"":""Drinking""}","[0]","",""
"5258.29999999993","","","survey-multi-choice","3","49627","0.0-3.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"52818.69999999995","","","survey-multi-choice","4","102466","0.0-4.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","{""HeartRate"":""99""}","[0]","",""
"9667.900000000023","","","survey-text","5","112149","0.0-5.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","{""Q0"":""24""}","","",""
"2878.70000000007","","","survey-multi-choice","6","115036","0.0-6.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"2723.29999999993","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","117773","0.0-7.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","","","50","95"
"2773.9000000000233","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","120554","0.0-8.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","","","50","93"
"3959.4000000000233","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","124520","0.0-9.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","","","50","70"
"14443.29999999993","","","survey-multi-choice","10","138974","0.0-10.0","3yr7yh","Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","22","39","12","rex13","Drinking","Unsymbolized thinking","99","24","male","right","95","93","70","4","13","{""Sleep"":""4"",""Eat"":""13""}","[0,1]","",""
