"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10023","0.0-0.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","","","",""
"7257.0999999940395","","","survey-text","1","17342","0.0-1.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","{""Q0"":""rex13""}","","",""
"2256.39999999851","","","survey-multi-choice","2","19613","0.0-2.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","{""Activity"":""Commuting""}","[0]","",""
"6088.39999999851","","","survey-multi-choice","3","25708","0.0-3.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"55128.80000000447","","","survey-multi-choice","4","80861","0.0-4.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","{""HeartRate"":""84""}","[0]","",""
"3121.8000000044703","","","survey-text","5","83997","0.0-5.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","{""Q0"":""24""}","","",""
"2358.5","","","survey-multi-choice","6","86371","0.0-6.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"2643.0999999940395","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","89024","0.0-7.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","","","50","59"
"3293.1999999955297","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","92323","0.0-8.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","","","50","66"
"2490.7000000029802","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","94819","0.0-9.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","","","50","100"
"12698.30000000447","","","survey-multi-choice","10","107531","0.0-10.0","nvw1cu","Wed Oct 05 2022 14:01:21 GMT+0200 (Centraleuropæisk sommertid)","2022","10","5","14","1","21","rex13","Commuting","Inner voice","84","24","male","right","59","66","100","5","3","{""Sleep"":""5"",""Eat"":""3""}","[0,1]","",""
