"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10023","0.0-0.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","","","",""
"19781","","","survey-text","1","29842","0.0-1.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","{""Q0"":""woo55""}","","",""
"5690","","","survey-multi-choice","2","35540","0.0-2.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","{""Activity"":""Listening to music""}","[0]","",""
"16847","","","survey-multi-choice","3","52391","0.0-3.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"9485","","","survey-multi-choice","4","61887","0.0-4.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","{""HeartRate"":""72""}","[0]","",""
"3529","","","survey-text","5","65425","0.0-5.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","{""Q0"":""23""}","","",""
"5350","","","survey-multi-choice","6","70778","0.0-6.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3749","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","74534","0.0-7.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","","","50","73"
"4699","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","79238","0.0-8.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","","","50","35"
"4176","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","83418","0.0-9.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","","","50","100"
"15297","","","survey-multi-choice","10","98722","0.0-10.0","0hzv9t","Fri Sep 23 2022 08:16:22 GMT+0200 (CEST)","2022","9","23","8","16","22","woo55","Listening to music","Unsymbolized thinking","72","23","female","right","73","35","100","2","1","{""Sleep"":""2"",""Eat"":""1""}","[0,1]","",""
