"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10030","0.0-0.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","","","",""
"6208","","","survey-text","1","16284","0.0-1.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","{""Q0"":""woo55""}","","",""
"11985","","","survey-multi-choice","2","28276","0.0-2.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","{""Activity"":""Working, Studying""}","[0]","",""
"4935","","","survey-multi-choice","3","33216","0.0-3.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"45830","","","survey-multi-choice","4","79057","0.0-4.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","{""HeartRate"":""78""}","[0]","",""
"3952.9999999999854","","","survey-text","5","83023","0.0-5.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","{""Q0"":""23""}","","",""
"5609","","","survey-multi-choice","6","88636","0.0-6.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6003","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","94646","0.0-7.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","","","50","66"
"7292","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","101943","0.0-8.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","","","50","65"
"7693.999999999985","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","109640","0.0-9.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","","","50","100"
"11578","","","survey-multi-choice","10","121224","0.0-10.0","tr2c6e","Sat Sep 24 2022 14:21:56 GMT+0200 (CEST)","2022","9","24","14","21","56","woo55","Working, Studying","Inner voice","78","23","female","right","66","65","100","3","1","{""Sleep"":""3"",""Eat"":""1""}","[0,1]","",""
