"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10013","0.0-0.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","","","",""
"18691","","","survey-text","1","28732","0.0-1.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","{""Q0"":""www11""}","","",""
"29463","","","survey-multi-choice","2","58203","0.0-2.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","{""Activity"":""Showering, Getting Ready""}","[0]","",""
"3666.9999999999927","","","survey-multi-choice","3","61874","0.0-3.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","{""MentalActivity"":""Inner voice""}","[0]","",""
"30718","","","survey-multi-choice","4","92602","0.0-4.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","{""HeartRate"":""45""}","[0]","",""
"7589","","","survey-text","5","100208","0.0-5.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","{""Q0"":""25""}","","",""
"3842","","","survey-multi-choice","6","104053","0.0-6.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"3664","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","107728","0.0-7.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","","","50","25"
"8273","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","116003","0.0-8.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","","","50","7"
"8754.999999999985","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","124759","0.0-9.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","","","50","14"
"11519.999999999985","","","survey-multi-choice","10","136288","0.0-10.0","7jhwhj","Mon Sep 12 2022 07:23:48 GMT+0200 (CEST)","2022","9","12","7","23","48","www11","Showering, Getting Ready","Inner voice","45","25","male","right","25","7","14","4","9","{""Sleep"":""4"",""Eat"":""9""}","[0,1]","",""
