"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10015","0.0-0.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","","","",""
"10122","","","survey-text","1","20160","0.0-1.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","{""Q0"":""yfg54""}","","",""
"5371","","","survey-multi-choice","2","25537","0.0-2.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","{""Activity"":""Working, Studying""}","[0]","",""
"2587","","","survey-multi-choice","3","28128","0.0-3.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","{""MentalActivity"":""Inner voice""}","[0]","",""
"41178","","","survey-multi-choice","4","69299","0.0-4.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","{""HeartRate"":""72""}","[0]","",""
"2896","","","survey-text","5","72204","0.0-5.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","{""Q0"":""23""}","","",""
"3231.9999999999854","","","survey-multi-choice","6","75436","0.0-6.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4053","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","79493","0.0-7.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","","","50","83"
"4025","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","83520","0.0-8.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","","","50","60"
"7794.000000000015","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","91319","0.0-9.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","","","50","24"
"22716","","","survey-multi-choice","10","114038","0.0-10.0","19euj6","Tue Nov 01 2022 11:23:02 GMT+0100 (CET)","2022","11","1","11","23","2","yfg54","Working, Studying","Inner voice","72","23","female","right","83","60","24","5","4","{""Sleep"":""5"",""Eat"":""4""}","[0,1]","",""
