"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10017","0.0-0.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","","","",""
"7506.000000000004","","","survey-text","1","17555","0.0-1.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","{""Q0"":""yfg54""}","","",""
"8599","","","survey-multi-choice","2","26162","0.0-2.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","{""Activity"":""Being on the Internet""}","[0]","",""
"4710.000000000004","","","survey-multi-choice","3","30876","0.0-3.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"45100","","","survey-multi-choice","4","75986","0.0-4.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","{""HeartRate"":""57""}","[0]","",""
"3064.0000000000146","","","survey-text","5","79065","0.0-5.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","{""Q0"":""23""}","","",""
"4965","","","survey-multi-choice","6","84034","0.0-6.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"9536","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","93582","0.0-7.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","","","50","65"
"12621.000000000015","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","106208","0.0-8.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","","","50","26"
"5248.000000000015","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","111461","0.0-9.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","","","50","50"
"26581.999999999985","","","survey-multi-choice","10","138052","0.0-10.0","2et04f","Wed Oct 05 2022 22:45:08 GMT+0200 (CEST)","2022","10","5","22","45","8","yfg54","Being on the Internet","Unsymbolized thinking","57","23","female","right","65","26","50","16","1","{""Sleep"":""16"",""Eat"":""1""}","[0,1]","",""
