"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10010","0.0-0.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","","","",""
"6687","","","survey-text","1","16714","0.0-1.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","{""Q0"":""yfg54""}","","",""
"3987","","","survey-multi-choice","2","20709","0.0-2.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","{""Activity"":""Doing sport""}","[0]","",""
"5609.999999999996","","","survey-multi-choice","3","26323","0.0-3.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","{""MentalActivity"":""Inner voice""}","[0]","",""
"7999.999999999996","","","survey-multi-choice","4","34335","0.0-4.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","{""HeartRate"":""155""}","[0]","",""
"3363","","","survey-text","5","37708","0.0-5.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","{""Q0"":""23""}","","",""
"4183","","","survey-multi-choice","6","41895","0.0-6.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4913","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","46820","0.0-7.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","","","50","81"
"4176","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","50998","0.0-8.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","","","50","79"
"3928","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","54930","0.0-9.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","","","50","32"
"30088","","","survey-multi-choice","10","85026","0.0-10.0","39jzwo","Mon Sep 26 2022 06:38:59 GMT+0200 (CEST)","2022","9","26","6","38","59","yfg54","Doing sport","Inner voice","155","23","female","right","81","79","32","1","8","{""Sleep"":""1"",""Eat"":""8""}","[0,1]","",""
