"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10019","0.0-0.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","","","",""
"20918","","","survey-text","1","30984","0.0-1.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","{""Q0"":""yfg54""}","","",""
"22616","","","survey-multi-choice","2","53608","0.0-2.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","{""Activity"":""Drinking""}","[0]","",""
"31501","","","survey-multi-choice","3","85112","0.0-3.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"67545","","","survey-multi-choice","4","152666","0.0-4.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","{""HeartRate"":""90""}","[0]","",""
"3357","","","survey-text","5","156040","0.0-5.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","{""Q0"":""23""}","","",""
"3602.999999999971","","","survey-multi-choice","6","159648","0.0-6.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"72970","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","346335","0.0-7.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","","","50","77"
"50238","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","396600","0.0-8.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","","","50","63"
"28253.99999999994","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","424866","0.0-9.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","","","50","37"
"61540","","","survey-multi-choice","10","486420","0.0-10.0","7zr1jf","Fri Oct 07 2022 23:56:39 GMT+0200 (CEST)","2022","10","7","23","56","39","yfg54","Drinking","Unsymbolized thinking","90","23","female","right","77","63","37","18","4","{""Sleep"":""18"",""Eat"":""4""}","[0,1]","",""
