"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10017","0.0-0.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","","","",""
"6565","","","survey-text","1","16624","0.0-1.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","{""Q0"":""yfg54""}","","",""
"18928.999999999996","","","survey-multi-choice","2","35561","0.0-2.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","{""Activity"":""Showering, Getting Ready""}","[0]","",""
"17867","","","survey-multi-choice","3","53432","0.0-3.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"45969","","","survey-multi-choice","4","99414","0.0-4.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","{""HeartRate"":""69""}","[0]","",""
"2745","","","survey-text","5","102174","0.0-5.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","{""Q0"":""23""}","","",""
"3272","","","survey-multi-choice","6","105450","0.0-6.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"8406","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","113868","0.0-7.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","","","50","69"
"15376","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","129248","0.0-8.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","","","50","62"
"3462","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","132714","0.0-9.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","","","50","76"
"27831","","","survey-multi-choice","10","160556","0.0-10.0","bwvz21","Wed Sep 28 2022 12:27:26 GMT+0200 (CEST)","2022","9","28","12","27","26","yfg54","Showering, Getting Ready","Unsymbolized thinking","69","23","female","right","69","62","76","5","1","{""Sleep"":""5"",""Eat"":""1""}","[0,1]","",""
