"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10029","0.0-0.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","","","",""
"5926.999999999998","","","survey-text","1","15984","0.0-1.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","{""Q0"":""yfg54""}","","",""
"61786","","","survey-multi-choice","2","77776","0.0-2.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","{""Activity"":""Leisure""}","[0]","",""
"7341","","","survey-multi-choice","3","85122","0.0-3.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","{""MentalActivity"":""Inner voice""}","[0]","",""
"4498","","","survey-multi-choice","4","89631","0.0-4.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","{""HeartRate"":""75""}","[0]","",""
"3292","","","survey-text","5","92935","0.0-5.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","{""Q0"":""23""}","","",""
"3798","","","survey-multi-choice","6","96736","0.0-6.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4954","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","101696","0.0-7.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","","","50","100"
"6780","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","108480","0.0-8.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","","","50","95"
"3260","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","111745","0.0-9.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","","","50","77"
"25161","","","survey-multi-choice","10","136915","0.0-10.0","byv9ae","Tue Sep 13 2022 14:11:04 GMT+0200 (CEST)","2022","9","13","14","11","4","yfg54","Leisure","Inner voice","75","23","female","right","100","95","77","6","2","{""Sleep"":""6"",""Eat"":""2""}","[0,1]","",""
