"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","27287","0.0-0.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","","","",""
"20031.999999999996","","","survey-text","1","47733","0.0-1.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","{""Q0"":""yfg54""}","","",""
"21773","","","survey-multi-choice","2","69525","0.0-2.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","{""Activity"":""Texting, Emailing, Social Networking""}","[0]","",""
"21427","","","survey-multi-choice","3","90986","0.0-3.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","{""MentalActivity"":""Inner voice""}","[0]","",""
"12036","","","survey-multi-choice","4","103038","0.0-4.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","{""HeartRate"":""72""}","[0]","",""
"4127","","","survey-text","5","107181","0.0-5.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","{""Q0"":""23""}","","",""
"5493","","","survey-multi-choice","6","112679","0.0-6.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"17073","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","129764","0.0-7.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","","","50","73"
"16825.99999999997","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","146595","0.0-8.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","","","50","66"
"13580.00000000003","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","160181","0.0-9.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","","","50","82"
"37739","","","survey-multi-choice","10","197929","0.0-10.0","dgtv6r","Mon Sep 12 2022 07:22:21 GMT+0200 (CEST)","2022","9","12","7","22","21","yfg54","Texting, Emailing, Social Networking","Inner voice","72","23","female","right","73","66","82","0","9","{""Sleep"":""0"",""Eat"":""9""}","[0,1]","",""
