"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10018","0.0-0.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","","","",""
"7645","","","survey-text","1","17708","0.0-1.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","{""Q0"":""yfg54""}","","",""
"19888","","","survey-multi-choice","2","37602","0.0-2.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","{""Activity"":""Being on the Internet""}","[0]","",""
"5936.999999999993","","","survey-multi-choice","3","43543","0.0-3.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"42610","","","survey-multi-choice","4","86167","0.0-4.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","{""HeartRate"":""63""}","[0]","",""
"3006.0000000000146","","","survey-text","5","89196","0.0-5.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","{""Q0"":""23""}","","",""
"5464.999999999985","","","survey-multi-choice","6","94667","0.0-6.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4495","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","99171","0.0-7.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","","","50","63"
"9447","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","108621","0.0-8.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","","","50","75"
"6746","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","115371","0.0-9.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","","","50","47"
"15166","","","survey-multi-choice","10","130546","0.0-10.0","dyoktd","Sun Oct 16 2022 17:20:21 GMT+0200 (CEST)","2022","10","16","17","20","21","yfg54","Being on the Internet","Sensory awareness","63","23","female","right","63","75","47","11","2","{""Sleep"":""11"",""Eat"":""2""}","[0,1]","",""
