"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10008","0.0-0.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","","","",""
"16279","","","survey-text","1","26310","0.0-1.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","{""Q0"":""yfg54""}","","",""
"12831","","","survey-multi-choice","2","39149","0.0-2.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","{""Activity"":""Sleeping, Resting""}","[0]","",""
"11588","","","survey-multi-choice","3","50740","0.0-3.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","{""MentalActivity"":""Inner seeing""}","[0]","",""
"50032","","","survey-multi-choice","4","100783","0.0-4.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","{""HeartRate"":""69""}","[0]","",""
"4515","","","survey-text","5","105313","0.0-5.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","{""Q0"":""23""}","","",""
"8532.999999999985","","","survey-multi-choice","6","113850","0.0-6.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"11366","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","125229","0.0-7.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","","","50","17"
"15026","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","140260","0.0-8.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","","","50","39"
"9050","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","149314","0.0-9.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","","","50","52"
"27334","","","survey-multi-choice","10","176653","0.0-10.0","f2dt1z","Fri Sep 09 2022 06:19:29 GMT+0200 (CEST)","2022","9","9","6","19","29","yfg54","Sleeping, Resting","Inner seeing","69","23","female","right","17","39","52","0","7","{""Sleep"":""0"",""Eat"":""7""}","[0,1]","",""
