"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10015","0.0-0.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","","","",""
"6888","","","survey-text","1","16928","0.0-1.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","{""Q0"":""yfg54""}","","",""
"4830","","","survey-multi-choice","2","21762","0.0-2.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","{""Activity"":""Doing sport""}","[0]","",""
"11430","","","survey-multi-choice","3","33196","0.0-3.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"18557","","","survey-multi-choice","4","51764","0.0-4.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","{""HeartRate"":""131""}","[0]","",""
"2942","","","survey-text","5","54716","0.0-5.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","{""Q0"":""23""}","","",""
"5966.000000000007","","","survey-multi-choice","6","60685","0.0-6.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4689","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","65383","0.0-7.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","","","50","61"
"5471","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","70858","0.0-8.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","","","50","40"
"5814.000000000015","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","76677","0.0-9.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","","","50","47"
"22777","","","survey-multi-choice","10","99463","0.0-10.0","klxb47","Wed Oct 12 2022 21:40:41 GMT+0200 (CEST)","2022","10","12","21","40","41","yfg54","Doing sport","Sensory awareness","131","23","female","right","61","40","47","14","0","{""Sleep"":""14"",""Eat"":""0""}","[0,1]","",""
