"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10021","0.0-0.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","","","",""
"7122","","","survey-text","1","17182","0.0-1.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","{""Q0"":""yfg54""}","","",""
"7343","","","survey-multi-choice","2","24533","0.0-2.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","{""Activity"":""Sleeping, Resting""}","[0]","",""
"3047.0000000000036","","","survey-multi-choice","3","27585","0.0-3.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"5527","","","survey-multi-choice","4","33123","0.0-4.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","{""HeartRate"":""57""}","[0]","",""
"3199","","","survey-text","5","36336","0.0-5.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","{""Q0"":""23""}","","",""
"3351.0000000000073","","","survey-multi-choice","6","39690","0.0-6.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"9685.000000000007","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","49385","0.0-7.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","","","50","77"
"12590.999999999993","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","61980","0.0-8.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","","","50","27"
"7247","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","69228","0.0-9.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","","","50","69"
"30302","","","survey-multi-choice","10","99533","0.0-10.0","t5y61x","Sun Nov 13 2022 23:16:19 GMT+0100 (CET)","2022","11","13","23","16","19","yfg54","Sleeping, Resting","Inner voice","57","23","female","right","77","27","69","15","3","{""Sleep"":""15"",""Eat"":""3""}","[0,1]","",""
