"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10033","0.0-0.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","","","",""
"66230","","","survey-text","1","76294","0.0-1.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","{""Q0"":""yfg54""}","","",""
"13455","","","survey-multi-choice","2","89759","0.0-2.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","{""Activity"":""Chatting""}","[0]","",""
"21036","","","survey-multi-choice","3","110798","0.0-3.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"7712.000000000015","","","survey-multi-choice","4","118517","0.0-4.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","{""HeartRate"":""78""}","[0]","",""
"4011","","","survey-text","5","122546","0.0-5.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","{""Q0"":""23""}","","",""
"22406","","","survey-multi-choice","6","144955","0.0-6.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"8848.99999999997","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","153817","0.0-7.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","","","50","100"
"14011","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","167831","0.0-8.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","","","50","89"
"23031.99999999997","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","190867","0.0-9.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","","","50","63"
"60808","","","survey-multi-choice","10","251685","0.0-10.0","vfeq45","Mon Sep 12 2022 11:13:08 GMT+0200 (CEST)","2022","9","12","11","13","8","yfg54","Chatting","Sensory awareness","78","23","female","right","100","89","63","4","3","{""Sleep"":""4"",""Eat"":""3""}","[0,1]","",""
