"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10122","0.0-0.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","","","",""
"27556","","","survey-text","1","37758","0.0-1.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","{""Q0"":""yfg54""}","","",""
"19553","","","survey-multi-choice","2","57322","0.0-2.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","{""Activity"":""Chatting""}","[0]","",""
"108587.00000000003","","","survey-multi-choice","3","165913","0.0-3.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"32076","","","survey-multi-choice","4","198013","0.0-4.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","{""HeartRate"":""66""}","[0]","",""
"45090.99999999997","","","survey-text","5","243117","0.0-5.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","{""Q0"":""23""}","","",""
"4416.999999999971","","","survey-multi-choice","6","247540","0.0-6.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"143508.99999999997","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","391062","0.0-7.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","","","50","67"
"164917","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","566692","0.0-8.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","","","50","71"
"38284","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","604989","0.0-9.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","","","50","53"
"18572","","","survey-multi-choice","10","623577","0.0-10.0","woqo13","Thu Oct 13 2022 14:06:22 GMT+0200 (CEST)","2022","10","13","14","6","22","yfg54","Chatting","Inner voice","66","23","female","right","67","71","53","7","1","{""Sleep"":""7"",""Eat"":""1""}","[0,1]","",""
